dimension,f_score,p_value
dim_4,2554.111985797628,0.0
dim_2,2539.1003104740416,0.0
dim_0,2477.5460735760357,0.0
dim_1,2369.1667267518073,0.0
dim_3,2285.755473726274,0.0
dim_61,20.90154472082352,4.840056296135959e-13
dim_64,20.01818455658794,1.6244148050953319e-12
dim_118,13.892260778532622,7.766439602314373e-09
dim_98,12.314957017507496,7.009534269336867e-08
dim_106,11.976824616492587,1.1242076793765142e-07
dim_97,11.910987286619763,1.232549892057767e-07
dim_25,11.540638176572136,2.068451952395071e-07
dim_15,10.382651972008409,1.045467857596655e-06
dim_42,9.549481872429597,3.357562036497654e-06
dim_76,9.072576162174066,6.548487140191058e-06
dim_28,8.085731669228755,2.6085681858075663e-05
dim_20,7.965436609161833,3.0870840413213726e-05
dim_78,7.886599436650531,3.4473164018464595e-05
dim_119,7.722272690885643,4.338876456085818e-05
dim_122,7.5237230420064485,5.728607787153218e-05
dim_116,7.387471917784409,6.93165301900055e-05
dim_49,7.345721126318163,7.348543255788036e-05
dim_71,6.849452375214069,0.00014707247974455142
dim_91,6.848373079520949,0.00014729444953478623
dim_81,6.580885895947651,0.00021401833436273375
dim_12,6.4606503065480965,0.0002531321679185649
dim_41,6.292871763441861,0.00031990396734183756
dim_104,6.22310207599116,0.00035259942557290503
dim_75,6.1905430566990844,0.0003689775763858744
dim_77,6.047454211259205,0.0004504301374772527
dim_27,5.981049370909047,0.0004940970577830734
dim_87,5.793117633471949,0.0006419107795516765
dim_31,5.666593586144109,0.0007654904148134425
dim_85,5.418331039612005,0.001081006721554461
dim_109,5.2833954431165315,0.0013037810567305594
dim_59,5.181641012748156,0.0015014948622509956
dim_38,5.0399675980408,0.0018273758477997393
dim_26,5.008440669853258,0.0019089693779377683
dim_8,4.9707993526699905,0.0020111453957243853
dim_10,4.8044229650547585,0.002531940583968456
dim_18,4.6067104634771106,0.003327498967492385
dim_17,4.546631028803125,0.003615218338549786
dim_23,4.490307222673742,0.003907335944164157
dim_19,4.46876982945181,0.004025129344742117
dim_99,4.444806395286093,0.004160338151938563
dim_39,4.28290589493565,0.00519968185244277
dim_65,4.180681738648427,0.005984631760353124
dim_60,3.9458751756169903,0.008260470915702506
dim_95,3.921640453572163,0.00853938559232072
dim_83,3.8089004829564255,0.009964430977276485
dim_62,3.7301412061806563,0.011097129246830312
dim_121,3.6953465340358185,0.011637233061930336
dim_127,3.688258860413567,0.011750396789952273
dim_107,3.551769366014976,0.014154438799822979
dim_6,3.485104050967601,0.015499195582614396
dim_63,3.4747401307394665,0.015719283172138533
dim_29,3.3343318950005387,0.019022939904331137
dim_33,3.3277844076736653,0.019192669890003216
dim_69,3.267340694257116,0.020831699500627836
dim_110,2.8976218648860637,0.034307019650069825
dim_120,2.8782680196411987,0.035210375047097155
dim_125,2.719216107542587,0.043571736848561596
dim_103,2.7190127118122036,0.04358358320009383
dim_40,2.6926130734590665,0.04514819432057256
dim_80,2.6084349909474716,0.0505123905702703
dim_79,2.6057146126915716,0.050695735811284635
dim_57,2.5963097402440893,0.051334610791085464
