comparison,dimension,p_value,significant_at_0.05
0_vs_1,0,6.845283383020317e-165,True
0_vs_1,1,6.804321450977391e-165,True
0_vs_1,2,7.011608544844512e-165,True
0_vs_1,3,6.845283383020317e-165,True
0_vs_1,4,6.969652664553754e-165,True
0_vs_1,5,0.7959769964489337,False
0_vs_1,6,0.9651473955069105,False
0_vs_1,7,0.6658834554168358,False
0_vs_1,8,0.0028873392325867364,False
0_vs_1,9,0.9174014226145095,False
0_vs_1,10,0.1659872546820328,False
0_vs_1,11,0.3590586151460362,False
0_vs_1,12,0.262257591674689,False
0_vs_1,13,0.347586121106631,False
0_vs_1,14,0.7255996393239195,False
0_vs_1,15,0.019423180637747187,False
0_vs_1,16,0.6234682602688104,False
0_vs_1,17,0.9600850621715594,False
0_vs_1,18,0.8393647326976551,False
0_vs_1,19,0.5744796240428683,False
0_vs_1,20,0.03897935455040551,False
0_vs_1,21,0.39318112058742205,False
0_vs_1,22,0.2615125457317622,False
0_vs_1,23,0.3196717382440155,False
0_vs_1,24,0.931667022993815,False
0_vs_1,25,0.5229649823907188,False
0_vs_1,26,0.6929981532615521,False
0_vs_1,27,0.018056046276527397,False
0_vs_1,28,0.550395744061917,False
0_vs_1,29,0.2663815458395241,False
0_vs_1,30,0.7435836278338142,False
0_vs_1,31,0.7028847986187775,False
0_vs_1,32,0.1390937292279634,False
0_vs_1,33,0.9165323815494207,False
0_vs_1,34,0.6349771839821626,False
0_vs_1,35,0.011612804749379067,False
0_vs_1,36,0.5127566619923839,False
0_vs_1,37,0.5060092637799025,False
0_vs_1,38,0.18250366869368861,False
0_vs_1,39,0.6870265817872303,False
0_vs_1,40,0.38942955473098884,False
0_vs_1,41,0.5319820940408775,False
0_vs_1,42,0.5614153854356672,False
0_vs_1,43,0.3738180204194509,False
0_vs_1,44,0.11933172952985337,False
0_vs_1,45,0.29518159167633307,False
0_vs_1,46,0.23966403074304266,False
0_vs_1,47,0.8321810638280094,False
0_vs_1,48,0.7358112383996743,False
0_vs_1,49,0.8946682097342877,False
0_vs_1,50,0.9083684115420894,False
0_vs_1,51,0.5587609640813329,False
0_vs_1,52,0.8415909937469578,False
0_vs_1,53,0.6327929306900675,False
0_vs_1,54,0.3805626520220685,False
0_vs_1,55,0.02024601143664463,False
0_vs_1,56,0.289360499260219,False
0_vs_1,57,0.18890958511658096,False
0_vs_1,58,0.18839403253690212,False
0_vs_1,59,0.1405037337037473,False
0_vs_1,60,0.22277072539336684,False
0_vs_1,61,0.23618042556565932,False
0_vs_1,62,0.6738621316840552,False
0_vs_1,63,0.37830618084082845,False
0_vs_1,64,0.2028366359773549,False
0_vs_1,65,0.612972856520855,False
0_vs_1,66,0.802744994867341,False
0_vs_1,67,0.8113956324469612,False
0_vs_1,68,0.3497263180161424,False
0_vs_1,69,0.5339965394544671,False
0_vs_1,70,0.22152656410978322,False
0_vs_1,71,0.8270584029744005,False
0_vs_1,72,0.7290530515064451,False
0_vs_1,73,0.026454540622312606,False
0_vs_1,74,0.6337286486027621,False
0_vs_1,75,0.21921746719548174,False
0_vs_1,76,0.19867397145613963,False
0_vs_1,77,0.6188283360204222,False
0_vs_1,78,0.2223554504612394,False
0_vs_1,79,0.10513684869312184,False
0_vs_1,80,0.8234769002090794,False
0_vs_1,81,0.9848845651628634,False
0_vs_1,82,0.6409218648550424,False
0_vs_1,83,0.7826556482292475,False
0_vs_1,84,0.14079886347697393,False
0_vs_1,85,0.9080212169567387,False
0_vs_1,86,0.8711587501440767,False
0_vs_1,87,0.022199762464106428,False
0_vs_1,88,0.6247081116253315,False
0_vs_1,89,0.633104771461587,False
0_vs_1,90,0.15887425500695207,False
0_vs_1,91,0.31248270463769523,False
0_vs_1,92,0.14479973028821966,False
0_vs_1,93,0.8799626106297049,False
0_vs_1,94,0.8017288379367753,False
0_vs_1,95,0.010230501041976635,False
0_vs_1,96,0.3581413164615179,False
0_vs_1,97,0.9457802560110959,False
0_vs_1,98,0.6665203746640955,False
0_vs_1,99,0.05644499983238912,False
0_vs_1,100,0.2555132778546251,False
0_vs_1,101,0.8958809448400413,False
0_vs_1,102,0.40506057658363004,False
0_vs_1,103,0.7165815514555818,False
0_vs_1,104,0.8061345849027075,False
0_vs_1,105,0.85102360562198,False
0_vs_1,106,0.7887184908877818,False
0_vs_1,107,0.187952957028359,False
0_vs_1,108,0.8671935313799699,False
0_vs_1,109,0.8412484091305594,False
0_vs_1,110,0.13413056488952324,False
0_vs_1,111,0.6745020284629109,False
0_vs_1,112,0.8338902140119463,False
0_vs_1,113,0.4870110185391324,False
0_vs_1,114,0.5471836352809345,False
0_vs_1,115,0.8017288379367753,False
0_vs_1,116,0.9215741755026827,False
0_vs_1,117,0.3203112184583744,False
0_vs_1,118,0.23076663737909386,False
0_vs_1,119,0.21856091072670414,False
0_vs_1,120,0.399400490556567,False
0_vs_1,121,0.34534230224001794,False
0_vs_1,122,0.4200499825959757,False
0_vs_1,123,0.29407160613640837,False
0_vs_1,124,0.6351333240195005,False
0_vs_1,125,0.353804308332592,False
0_vs_1,126,0.653038217481909,False
0_vs_1,127,0.7578727885924477,False
