dataset,backbone,attr,n,dim,probe_f1,probe_ci_lo,probe_ci_hi,cohens_d,fdr_sig,fdr_total,seed_mean,seed_std
CheXpert,resnet50,sex,2000,2048,0.8099694297555056,0.7971513272743282,0.8226131188711697,0.08676442503929138,1,2048,0.8113616850849974,0.002415969420794713
CheXpert,resnet50,race,2000,2048,0.40310609313053425,0.381488699441623,0.4247234868194455,,10,2048,0.40400937233796064,0.0018613886460370932
CheXpert,densenet121,sex,2000,1024,0.8468900600479848,0.8287919805046278,0.8643336595962595,0.13594089448451996,1,1024,0.8453610385638595,0.004757630168403377
CheXpert,densenet121,race,2000,1024,0.479725845584919,0.45767988757912226,0.5027448753957782,,10,1024,0.475436768785882,0.005957197874615338
CheXpert,vit_b_16,sex,2000,768,0.8189857888418614,0.8091591057006774,0.831115500323268,0.10718124359846115,1,768,0.8230508559608924,0.0044658419083908945
CheXpert,vit_b_16,race,2000,768,0.45471359099734265,0.4430731920847239,0.4666994480502077,,10,768,0.445311819651305,0.010782278297390787
MIMIC-CXR,rad_dino,sex,1491,768,0.9899365827326898,0.9859177070656564,0.9939554583997232,0.1457529067993164,1,768,0.9911417206238875,0.0008898025723106731
MIMIC-CXR,rad_dino,race,1491,768,0.4108182173155475,0.3857370089758526,0.435000341972437,,10,768,0.4118508966760525,0.014437205020781668
MIMIC-CXR,vit16_cls,sex,1491,768,0.8670496108436027,0.8609630753312594,0.8730201799867828,0.13746969401836395,1,768,0.8660938221020686,0.0038978893691742184
MIMIC-CXR,vit16_cls,race,1491,768,0.3895256543328621,0.36903504973702794,0.4081429443656754,,10,768,0.3540648986201409,0.02483577513699796
MIMIC-CXR,medsiglip,sex,1491,1152,0.96576138684217,0.9583596916868415,0.9718214782093872,0.30224350094795227,1,1152,0.966037386844292,0.0006840061358965551
MIMIC-CXR,medsiglip,race,1491,1152,0.3678107923418512,0.33342009163551856,0.3991091662329841,,10,1152,0.3733253976243631,0.00808706582955637
