effect_size,seed,method,precision,recall,f1,detected
0.0,42,hbac,0.0,0.0,0.0,0
0.0,42,probe,0.0,0.0,0.0,0
0.0,42,statistical,0.0,0.0,0.0,0
0.0,42,geometric,0.0,0.0,0.0,0
0.0,42,convergence,,,,0
0.0,1042,hbac,0.0,0.0,0.0,0
0.0,1042,probe,0.0,0.0,0.0,0
0.0,1042,statistical,0.0,0.0,0.0,0
0.0,1042,geometric,0.0,0.0,0.0,0
0.0,1042,convergence,,,,0
0.0,2042,hbac,0.2,0.2,0.20000000000000004,0
0.0,2042,probe,0.0,0.0,0.0,0
0.0,2042,statistical,0.0,0.0,0.0,0
0.0,2042,geometric,0.0,0.0,0.0,0
0.0,2042,convergence,,,,0
0.0,3042,hbac,0.0,0.0,0.0,0
0.0,3042,probe,0.0,0.0,0.0,0
0.0,3042,statistical,0.0,0.0,0.0,1
0.0,3042,geometric,0.0,0.0,0.0,0
0.0,3042,convergence,,,,0
0.0,4042,hbac,0.0,0.0,0.0,0
0.0,4042,probe,0.0,0.0,0.0,0
0.0,4042,statistical,0.0,0.0,0.0,1
0.0,4042,geometric,0.0,0.0,0.0,0
0.0,4042,convergence,,,,0
0.2,42,hbac,0.0,0.0,0.0,0
0.2,42,probe,1.0,1.0,1.0,0
0.2,42,statistical,1.0,1.0,1.0,1
0.2,42,geometric,1.0,1.0,1.0,1
0.2,42,convergence,,,,1
0.2,1042,hbac,0.0,0.0,0.0,0
0.2,1042,probe,1.0,1.0,1.0,0
0.2,1042,statistical,1.0,1.0,1.0,1
0.2,1042,geometric,1.0,1.0,1.0,1
0.2,1042,convergence,,,,1
0.2,2042,hbac,0.2,0.2,0.20000000000000004,0
0.2,2042,probe,1.0,1.0,1.0,0
0.2,2042,statistical,1.0,1.0,1.0,1
0.2,2042,geometric,1.0,1.0,1.0,1
0.2,2042,convergence,,,,1
0.2,3042,hbac,0.2,0.2,0.20000000000000004,0
0.2,3042,probe,1.0,1.0,1.0,0
0.2,3042,statistical,1.0,1.0,1.0,1
0.2,3042,geometric,1.0,1.0,1.0,1
0.2,3042,convergence,,,,1
0.2,4042,hbac,0.0,0.0,0.0,0
0.2,4042,probe,1.0,1.0,1.0,0
0.2,4042,statistical,1.0,1.0,1.0,1
0.2,4042,geometric,1.0,1.0,1.0,1
0.2,4042,convergence,,,,1
0.5,42,hbac,1.0,1.0,1.0,0
0.5,42,probe,1.0,1.0,1.0,1
0.5,42,statistical,1.0,1.0,1.0,1
0.5,42,geometric,1.0,1.0,1.0,1
0.5,42,convergence,,,,1
0.5,1042,hbac,1.0,1.0,1.0,1
0.5,1042,probe,1.0,1.0,1.0,1
0.5,1042,statistical,1.0,1.0,1.0,1
0.5,1042,geometric,1.0,1.0,1.0,1
0.5,1042,convergence,,,,1
0.5,2042,hbac,1.0,1.0,1.0,1
0.5,2042,probe,1.0,1.0,1.0,1
0.5,2042,statistical,1.0,1.0,1.0,1
0.5,2042,geometric,1.0,1.0,1.0,1
0.5,2042,convergence,,,,1
0.5,3042,hbac,1.0,1.0,1.0,1
0.5,3042,probe,1.0,1.0,1.0,1
0.5,3042,statistical,1.0,1.0,1.0,1
0.5,3042,geometric,1.0,1.0,1.0,1
0.5,3042,convergence,,,,1
0.5,4042,hbac,1.0,1.0,1.0,1
0.5,4042,probe,1.0,1.0,1.0,1
0.5,4042,statistical,1.0,1.0,1.0,1
0.5,4042,geometric,1.0,1.0,1.0,1
0.5,4042,convergence,,,,1
0.8,42,hbac,1.0,1.0,1.0,1
0.8,42,probe,1.0,1.0,1.0,1
0.8,42,statistical,1.0,1.0,1.0,1
0.8,42,geometric,1.0,1.0,1.0,1
0.8,42,convergence,,,,1
0.8,1042,hbac,1.0,1.0,1.0,1
0.8,1042,probe,1.0,1.0,1.0,1
0.8,1042,statistical,1.0,1.0,1.0,1
0.8,1042,geometric,1.0,1.0,1.0,1
0.8,1042,convergence,,,,1
0.8,2042,hbac,1.0,1.0,1.0,1
0.8,2042,probe,1.0,1.0,1.0,1
0.8,2042,statistical,1.0,1.0,1.0,1
0.8,2042,geometric,1.0,1.0,1.0,1
0.8,2042,convergence,,,,1
0.8,3042,hbac,1.0,1.0,1.0,1
0.8,3042,probe,1.0,1.0,1.0,1
0.8,3042,statistical,1.0,1.0,1.0,1
0.8,3042,geometric,1.0,1.0,1.0,1
0.8,3042,convergence,,,,1
0.8,4042,hbac,1.0,1.0,1.0,1
0.8,4042,probe,1.0,1.0,1.0,1
0.8,4042,statistical,1.0,1.0,1.0,1
0.8,4042,geometric,1.0,1.0,1.0,1
0.8,4042,convergence,,,,1
1.2,42,hbac,1.0,1.0,1.0,1
1.2,42,probe,1.0,1.0,1.0,1
1.2,42,statistical,1.0,1.0,1.0,1
1.2,42,geometric,1.0,1.0,1.0,1
1.2,42,convergence,,,,1
1.2,1042,hbac,1.0,1.0,1.0,1
1.2,1042,probe,1.0,1.0,1.0,1
1.2,1042,statistical,1.0,1.0,1.0,1
1.2,1042,geometric,1.0,1.0,1.0,1
1.2,1042,convergence,,,,1
1.2,2042,hbac,1.0,1.0,1.0,1
1.2,2042,probe,1.0,1.0,1.0,1
1.2,2042,statistical,1.0,1.0,1.0,1
1.2,2042,geometric,1.0,1.0,1.0,1
1.2,2042,convergence,,,,1
1.2,3042,hbac,1.0,1.0,1.0,1
1.2,3042,probe,1.0,1.0,1.0,1
1.2,3042,statistical,1.0,1.0,1.0,1
1.2,3042,geometric,1.0,1.0,1.0,1
1.2,3042,convergence,,,,1
1.2,4042,hbac,1.0,1.0,1.0,1
1.2,4042,probe,1.0,1.0,1.0,1
1.2,4042,statistical,1.0,1.0,1.0,1
1.2,4042,geometric,1.0,1.0,1.0,1
1.2,4042,convergence,,,,1
2.0,42,hbac,1.0,1.0,1.0,1
2.0,42,probe,1.0,1.0,1.0,1
2.0,42,statistical,1.0,1.0,1.0,1
2.0,42,geometric,1.0,1.0,1.0,1
2.0,42,convergence,,,,1
2.0,1042,hbac,1.0,1.0,1.0,1
2.0,1042,probe,1.0,1.0,1.0,1
2.0,1042,statistical,1.0,1.0,1.0,1
2.0,1042,geometric,1.0,1.0,1.0,1
2.0,1042,convergence,,,,1
2.0,2042,hbac,1.0,1.0,1.0,1
2.0,2042,probe,1.0,1.0,1.0,1
2.0,2042,statistical,1.0,1.0,1.0,1
2.0,2042,geometric,1.0,1.0,1.0,1
2.0,2042,convergence,,,,1
2.0,3042,hbac,1.0,1.0,1.0,1
2.0,3042,probe,1.0,1.0,1.0,1
2.0,3042,statistical,1.0,1.0,1.0,1
2.0,3042,geometric,1.0,1.0,1.0,1
2.0,3042,convergence,,,,1
2.0,4042,hbac,1.0,1.0,1.0,1
2.0,4042,probe,1.0,1.0,1.0,1
2.0,4042,statistical,1.0,1.0,1.0,1
2.0,4042,geometric,1.0,1.0,1.0,1
2.0,4042,convergence,,,,1
