param_value,method,seed,detected,precision,recall,f1,convergence_count
128,hbac,987231,1,1.0,1.0,1.0,4
128,probe,987231,1,1.0,1.0,1.0,4
128,statistical,987231,1,1.0,1.0,1.0,4
128,geometric,987231,1,1.0,1.0,1.0,4
128,hbac,79955,1,1.0,1.0,1.0,4
128,probe,79955,1,1.0,1.0,1.0,4
128,statistical,79955,1,1.0,1.0,1.0,4
128,geometric,79955,1,1.0,1.0,1.0,4
128,hbac,567131,1,1.0,1.0,1.0,4
128,probe,567131,1,1.0,1.0,1.0,4
128,statistical,567131,1,1.0,1.0,1.0,4
128,geometric,567131,1,1.0,1.0,1.0,4
128,hbac,500892,1,1.0,1.0,1.0,4
128,probe,500892,1,1.0,1.0,1.0,4
128,statistical,500892,1,1.0,1.0,1.0,4
128,geometric,500892,1,1.0,1.0,1.0,4
128,hbac,55400,1,1.0,1.0,1.0,4
128,probe,55400,1,1.0,1.0,1.0,4
128,statistical,55400,1,1.0,1.0,1.0,4
128,geometric,55400,1,1.0,1.0,1.0,4
256,hbac,987231,1,1.0,1.0,1.0,4
256,probe,987231,1,1.0,1.0,1.0,4
256,statistical,987231,1,1.0,1.0,1.0,4
256,geometric,987231,1,1.0,1.0,1.0,4
256,hbac,79955,1,1.0,1.0,1.0,4
256,probe,79955,1,1.0,1.0,1.0,4
256,statistical,79955,1,1.0,1.0,1.0,4
256,geometric,79955,1,1.0,1.0,1.0,4
256,hbac,567131,1,1.0,1.0,1.0,4
256,probe,567131,1,1.0,1.0,1.0,4
256,statistical,567131,1,1.0,1.0,1.0,4
256,geometric,567131,1,1.0,1.0,1.0,4
256,hbac,500892,1,1.0,1.0,1.0,4
256,probe,500892,1,1.0,1.0,1.0,4
256,statistical,500892,1,1.0,1.0,1.0,4
256,geometric,500892,1,1.0,1.0,1.0,4
256,hbac,55400,1,1.0,1.0,1.0,4
256,probe,55400,1,1.0,1.0,1.0,4
256,statistical,55400,1,1.0,1.0,1.0,4
256,geometric,55400,1,1.0,1.0,1.0,4
512,hbac,987231,0,1.0,1.0,1.0,3
512,probe,987231,1,1.0,1.0,1.0,3
512,statistical,987231,1,1.0,1.0,1.0,3
512,geometric,987231,1,1.0,1.0,1.0,3
512,hbac,79955,0,1.0,1.0,1.0,3
512,probe,79955,1,1.0,1.0,1.0,3
512,statistical,79955,1,1.0,1.0,1.0,3
512,geometric,79955,1,1.0,1.0,1.0,3
512,hbac,567131,0,0.8,0.8,0.8000000000000002,3
512,probe,567131,1,1.0,1.0,1.0,3
512,statistical,567131,1,1.0,1.0,1.0,3
512,geometric,567131,1,1.0,1.0,1.0,3
512,hbac,500892,0,1.0,1.0,1.0,3
512,probe,500892,1,1.0,1.0,1.0,3
512,statistical,500892,1,1.0,1.0,1.0,3
512,geometric,500892,1,1.0,1.0,1.0,3
512,hbac,55400,0,1.0,1.0,1.0,3
512,probe,55400,1,1.0,1.0,1.0,3
512,statistical,55400,1,1.0,1.0,1.0,3
512,geometric,55400,1,1.0,1.0,1.0,3
