param_value,method,seed,detected,precision,recall,f1,convergence_count
0.5,hbac,987231,1,1.0,1.0,1.0,4
0.5,probe,987231,1,1.0,1.0,1.0,4
0.5,statistical,987231,1,1.0,1.0,1.0,4
0.5,geometric,987231,1,1.0,1.0,1.0,4
0.5,hbac,79955,1,1.0,1.0,1.0,4
0.5,probe,79955,1,1.0,1.0,1.0,4
0.5,statistical,79955,1,1.0,1.0,1.0,4
0.5,geometric,79955,1,1.0,1.0,1.0,4
0.5,hbac,567131,1,1.0,1.0,1.0,4
0.5,probe,567131,1,1.0,1.0,1.0,4
0.5,statistical,567131,1,1.0,1.0,1.0,4
0.5,geometric,567131,1,1.0,1.0,1.0,4
0.5,hbac,500892,1,1.0,1.0,1.0,4
0.5,probe,500892,1,1.0,1.0,1.0,4
0.5,statistical,500892,1,1.0,1.0,1.0,4
0.5,geometric,500892,1,1.0,1.0,1.0,4
0.5,hbac,55400,1,1.0,1.0,1.0,4
0.5,probe,55400,1,1.0,1.0,1.0,4
0.5,statistical,55400,1,1.0,1.0,1.0,4
0.5,geometric,55400,1,1.0,1.0,1.0,4
0.7,hbac,987231,1,1.0,1.0,1.0,4
0.7,probe,987231,1,1.0,1.0,1.0,4
0.7,statistical,987231,1,1.0,1.0,1.0,4
0.7,geometric,987231,1,1.0,1.0,1.0,4
0.7,hbac,79955,1,1.0,1.0,1.0,4
0.7,probe,79955,1,1.0,1.0,1.0,4
0.7,statistical,79955,1,1.0,1.0,1.0,4
0.7,geometric,79955,1,1.0,1.0,1.0,4
0.7,hbac,567131,1,1.0,1.0,1.0,4
0.7,probe,567131,1,1.0,1.0,1.0,4
0.7,statistical,567131,1,1.0,1.0,1.0,4
0.7,geometric,567131,1,1.0,1.0,1.0,4
0.7,hbac,500892,1,1.0,1.0,1.0,4
0.7,probe,500892,1,1.0,1.0,1.0,4
0.7,statistical,500892,1,1.0,1.0,1.0,4
0.7,geometric,500892,1,1.0,1.0,1.0,4
0.7,hbac,55400,1,1.0,1.0,1.0,4
0.7,probe,55400,1,1.0,1.0,1.0,4
0.7,statistical,55400,1,1.0,1.0,1.0,4
0.7,geometric,55400,1,1.0,1.0,1.0,4
0.9,hbac,987231,1,0.4,0.4,0.4000000000000001,4
0.9,probe,987231,1,1.0,1.0,1.0,4
0.9,statistical,987231,1,1.0,1.0,1.0,4
0.9,geometric,987231,1,1.0,1.0,1.0,4
0.9,hbac,79955,1,1.0,1.0,1.0,4
0.9,probe,79955,1,1.0,1.0,1.0,4
0.9,statistical,79955,1,1.0,1.0,1.0,4
0.9,geometric,79955,1,1.0,1.0,1.0,4
0.9,hbac,567131,1,0.6,0.6,0.6,4
0.9,probe,567131,1,1.0,1.0,1.0,4
0.9,statistical,567131,1,1.0,1.0,1.0,4
0.9,geometric,567131,1,1.0,1.0,1.0,4
0.9,hbac,500892,1,1.0,1.0,1.0,4
0.9,probe,500892,1,1.0,1.0,1.0,4
0.9,statistical,500892,1,1.0,1.0,1.0,4
0.9,geometric,500892,1,1.0,1.0,1.0,4
0.9,hbac,55400,1,1.0,1.0,1.0,4
0.9,probe,55400,1,1.0,1.0,1.0,4
0.9,statistical,55400,1,1.0,1.0,1.0,4
0.9,geometric,55400,1,1.0,1.0,1.0,4
