param_value,method,seed,detected,precision,recall,f1,convergence_count
200,hbac,987231,1,1.0,1.0,1.0,4
200,probe,987231,1,1.0,1.0,1.0,4
200,statistical,987231,1,1.0,1.0,1.0,4
200,geometric,987231,1,1.0,1.0,1.0,4
200,hbac,79955,0,0.0,0.0,0.0,3
200,probe,79955,1,1.0,1.0,1.0,3
200,statistical,79955,1,1.0,1.0,1.0,3
200,geometric,79955,1,1.0,1.0,1.0,3
200,hbac,567131,0,0.8,0.8,0.8000000000000002,3
200,probe,567131,1,1.0,1.0,1.0,3
200,statistical,567131,1,1.0,1.0,1.0,3
200,geometric,567131,1,1.0,1.0,1.0,3
200,hbac,500892,1,1.0,1.0,1.0,4
200,probe,500892,1,1.0,1.0,1.0,4
200,statistical,500892,1,1.0,1.0,1.0,4
200,geometric,500892,1,1.0,1.0,1.0,4
200,hbac,55400,1,1.0,1.0,1.0,4
200,probe,55400,1,1.0,1.0,1.0,4
200,statistical,55400,1,1.0,1.0,1.0,4
200,geometric,55400,1,1.0,1.0,1.0,4
500,hbac,987231,1,1.0,1.0,1.0,4
500,probe,987231,1,1.0,1.0,1.0,4
500,statistical,987231,1,1.0,1.0,1.0,4
500,geometric,987231,1,1.0,1.0,1.0,4
500,hbac,79955,1,1.0,1.0,1.0,4
500,probe,79955,1,1.0,1.0,1.0,4
500,statistical,79955,1,1.0,1.0,1.0,4
500,geometric,79955,1,1.0,1.0,1.0,4
500,hbac,567131,1,1.0,1.0,1.0,4
500,probe,567131,1,1.0,1.0,1.0,4
500,statistical,567131,1,1.0,1.0,1.0,4
500,geometric,567131,1,1.0,1.0,1.0,4
500,hbac,500892,1,1.0,1.0,1.0,4
500,probe,500892,1,1.0,1.0,1.0,4
500,statistical,500892,1,1.0,1.0,1.0,4
500,geometric,500892,1,1.0,1.0,1.0,4
500,hbac,55400,1,1.0,1.0,1.0,4
500,probe,55400,1,1.0,1.0,1.0,4
500,statistical,55400,1,1.0,1.0,1.0,4
500,geometric,55400,1,1.0,1.0,1.0,4
1000,hbac,987231,1,1.0,1.0,1.0,4
1000,probe,987231,1,1.0,1.0,1.0,4
1000,statistical,987231,1,1.0,1.0,1.0,4
1000,geometric,987231,1,1.0,1.0,1.0,4
1000,hbac,79955,1,1.0,1.0,1.0,4
1000,probe,79955,1,1.0,1.0,1.0,4
1000,statistical,79955,1,1.0,1.0,1.0,4
1000,geometric,79955,1,1.0,1.0,1.0,4
1000,hbac,567131,1,1.0,1.0,1.0,4
1000,probe,567131,1,1.0,1.0,1.0,4
1000,statistical,567131,1,1.0,1.0,1.0,4
1000,geometric,567131,1,1.0,1.0,1.0,4
1000,hbac,500892,1,1.0,1.0,1.0,4
1000,probe,500892,1,1.0,1.0,1.0,4
1000,statistical,500892,1,1.0,1.0,1.0,4
1000,geometric,500892,1,1.0,1.0,1.0,4
1000,hbac,55400,1,1.0,1.0,1.0,4
1000,probe,55400,1,1.0,1.0,1.0,4
1000,statistical,55400,1,1.0,1.0,1.0,4
1000,geometric,55400,1,1.0,1.0,1.0,4
5000,hbac,987231,1,1.0,1.0,1.0,4
5000,probe,987231,1,1.0,1.0,1.0,4
5000,statistical,987231,1,1.0,1.0,1.0,4
5000,geometric,987231,1,1.0,1.0,1.0,4
5000,hbac,79955,1,1.0,1.0,1.0,4
5000,probe,79955,1,1.0,1.0,1.0,4
5000,statistical,79955,1,1.0,1.0,1.0,4
5000,geometric,79955,1,1.0,1.0,1.0,4
5000,hbac,567131,1,1.0,1.0,1.0,4
5000,probe,567131,1,1.0,1.0,1.0,4
5000,statistical,567131,1,1.0,1.0,1.0,4
5000,geometric,567131,1,1.0,1.0,1.0,4
5000,hbac,500892,1,1.0,1.0,1.0,4
5000,probe,500892,1,1.0,1.0,1.0,4
5000,statistical,500892,1,1.0,1.0,1.0,4
5000,geometric,500892,1,1.0,1.0,1.0,4
5000,hbac,55400,1,1.0,1.0,1.0,4
5000,probe,55400,1,1.0,1.0,1.0,4
5000,statistical,55400,1,1.0,1.0,1.0,4
5000,geometric,55400,1,1.0,1.0,1.0,4
